69,Systems analysis and computer programming,Privately owned (100% Australian),Metropolitan Melbourne,Less than 2 years,,,,,Increase,Yes,,,,,,,,,,,,,,,,,"$0 to $199,999",,,,,No,No,Increase,Increase,Irregularly,,,,Computer services,,,,,,,,,,,,,,,North America,,,,,USA,,,,,USA,Brazil,Chile,Canada,,Customising/modifying existing products and services,50,Not Applicable,Barrier,Not Applicable,Barrier,Barrier,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Major Barrier,Not Applicable,Not Applicable,Not Applicable,Barrier,Not Applicable,Not Applicable,Barrier,Barrier
70,Computer software consulting,Privately owned (100% Australian),Metropolitan Melbourne,2 to 4 years,1,,,,Increase,Yes,,,,,,,,,,,,,,,Company not currently experiencing skills as being in short supply,,"$500,000 to $999,999",100,,,,Yes,Yes,Increase,Stay the same,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA,Canada,,,,Developing new products and services,40,Neither a barrier nor an enabler,Barrier,Neither a barrier nor an enabler,Major Barrier,Barrier,Barrier,Neither a barrier nor an enabler,Barrier,Barrier,Barrier,Barrier,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler
72,Telecommunications services,Privately owned (100% Australian),Metropolitan Melbourne,20 or more years,55,9,4,,Increase,Yes,,,,,,,,,,,,,,,,Other,"More than $10,000,000",30,70,,,Yes,No,Increase,Stay the same,Regularly,,,,,,,,,,,Other,South East Asia,,,Middle East,,,,North America,,,,,,,,,,,,,,,Developing new products and services,,Barrier,Barrier,Barrier,Major Barrier,Major Barrier,Barrier,Neither a barrier nor an enabler,Major Enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Barrier,Barrier,Barrier,Neither a barrier nor an enabler,Barrier,Barrier
73,Systems analysis and computer programming,Privately owned (100% Australian),Interstate,5 to 9 years,12,2,58,13,Increase,Yes,,ICT professionals,"ICT business analysts, systems analysts and programmers",,,,,,,,,,,,,,"More than $10,000,000",24,50,26,,Yes,No,Increase,Stay the same,Irregularly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,Internet and web design consulting,Privately owned (100% Australian),Metropolitan Melbourne,5 to 9 years,21,3,1,,Increase,Yes,,,,,,,,,,,,,,,Company not currently experiencing skills as being in short supply,,"$1,000,000 to $4,999,999",80,20,,,Yes,Yes,Increase,Stay the same,Irregularly,,,,,Internet and web design,,,,,,,South East Asia,,,,,,,North America,,,,,Papua New Guinea,USA,,,,UK,Singapore,Malaysia,USA,New Zealand,Implementing new or significantly improved operational processes,10,Major Barrier,Barrier,Major Enabler,Major Barrier,Neither a barrier nor an enabler,Major Barrier,Enabler,Not Applicable,Major Enabler,Major Enabler,Neither a barrier nor an enabler,Major Barrier,Major Barrier,Major Barrier,Neither a barrier nor an enabler,Barrier,Barrier,Major Barrier
75,"Software development and installation (incl. game, app and e-learning resource development)",Privately owned (100% Australian),Metropolitan Melbourne,20 or more years,62,1,,,Increase,Yes,,,,,,,,,,,,,,,Company not currently experiencing skills as being in short supply,,"$5,000,000 to $9,999,999",49,42,,9,Yes,Yes,Increase,Increase,Regularly,,,Computer software,Computer services,,,,,,,,South East Asia,,,,,,,North America,,,Oceania and Pacific Islands,,New Zealand,Thailand,USA,,,New Zealand,Thailand,USA,,,Developing new products and services,33,Enabler,Enabler,Enabler,Neither a barrier nor an enabler,Enabler,Major Enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Enabler,Major Enabler,Barrier,Neither a barrier nor an enabler,Barrier,Enabler,Barrier,Enabler,Neither a barrier nor an enabler
76,"Internet and data services (incl. data centre hosting, cloud services)",Privately owned (100% Australian),Metropolitan Melbourne,20 or more years,3,9,,,Increase,Yes,,,,,,,,,,,,,,,Company not currently experiencing skills as being in short supply,,"$1,000,000 to $4,999,999",100,,,,Yes,Yes,Stay the same,Stay the same,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Developing new products and services,15,Neither a barrier nor an enabler,Barrier,Neither a barrier nor an enabler,Neither a barrier nor an enabler,,Neither a barrier nor an enabler,,Neither a barrier nor an enabler,Enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler
77,Computer software publishing,Privately owned (100% Australian),Metropolitan Melbourne,10 to 19 years,80,,,20,Increase,No,,,,Developer programmers,,,,"Software engineers, testers and app programmers",,,,,,,,,"More than $10,000,000",5,10,,85,Yes,Yes,Increase,Stay the same,Regularly,,,Computer software,Computer services,,,,,,,,South East Asia,East Asia,South Asia,Middle East,Eastern Europe and Russia,Western Europe,Africa,North America,Central America and Caribbean,South America,Oceania and Pacific Islands,,USA,UK,Scandinavia,Canada,South East Asia,USA,UK,Japan,France,Canada,Customising/modifying existing products and services,35,Neither a barrier nor an enabler,Barrier,Barrier,Neither a barrier nor an enabler,Barrier,Enabler,Not Applicable,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Enabler,Enabler,Neither a barrier nor an enabler,Barrier,Barrier,Major Barrier,Neither a barrier nor an enabler,Enabler,Enabler
78,"Internet and data services (incl. data centre hosting, cloud services)",Privately owned (100% Australian),Regional Victoria,20 or more years,50,5,,,Increase,Yes,,,,,Database and systems administrators,,,,,,,,,,,,"More than $10,000,000",40,59,,1,Yes,No,Increase,Stay the same,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,New Zealand,,,,,Developing new products and services,10,Barrier,Neither a barrier nor an enabler,Enabler,Enabler,Neither a barrier nor an enabler,Enabler,Neither a barrier nor an enabler,Enabler,Enabler,Neither a barrier nor an enabler,Enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Barrier,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler
79,Wholesaling – ICT goods,Privately owned (100% Australian),Interstate,Less than 2 years,1,,15,,Increase,Yes,,,,,,,,,,,,,,,Company not currently experiencing skills as being in short supply,,"$1,000,000 to $4,999,999",20,80,,,Yes,No,Increase,Increase,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Implementing new or significantly improved organisational processes/structures,0,Enabler,Barrier,Neither a barrier nor an enabler,Barrier,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Enabler,Neither a barrier nor an enabler,Barrier,Barrier,Barrier,Major Barrier,Barrier,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Barrier,Barrier
82,Computer hardware maintenance and consulting,Privately owned (100% Australian),Metropolitan Melbourne,10 to 19 years,5,3,,,Increase,Yes,,,,,,,ICT network and support professionals (e.g. computer network and systems engineers),,,,,,,,,Other,"$200,000 to $499,999",70,25,5,,Yes,Yes,Stay the same,Stay the same,Irregularly,,,,Computer services,,,,,,,,,East Asia,,,,,,North America,,,,,Japan,USA,,,,Japan,USA,,,,Implementing new or significantly improved organisational processes/structures,5,Barrier,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Major Enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Barrier,Barrier,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler
83,"Software development and installation (incl. game, app and e-learning resource development)",Privately owned (100% Australian),Regional Victoria,20 or more years,20,4,2,,Increase,Yes,,,"ICT business analysts, systems analysts and programmers",,,,,"Software engineers, testers and app programmers",,,,,,,,,"$1,000,000 to $4,999,999",15,80,,5,Yes,No,Increase,Stay the same,Irregularly,,,Computer software,,,,,,,,,South East Asia,,,,,,,,Central America and Caribbean,,,,Bermuda,Indonesia,,,,,,,,,Developing new products and services,25,Barrier,Barrier,Barrier,Barrier,Barrier,Enabler,Enabler,Enabler,Enabler,Enabler,Neither a barrier nor an enabler,Barrier,Major Barrier,Barrier,Barrier,Major Barrier,Barrier,Barrier
84,Computer hardware maintenance and consulting,Privately owned (100% Australian),Metropolitan Melbourne,10 to 19 years,10,,,,Increase,Yes,,ICT professionals,,,,,,,,,,,,,,,"$1,000,000 to $4,999,999",95,5,,,Yes,No,Increase,Increase,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Developing new products and services,0,Barrier,Barrier,Barrier,Barrier,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Major Enabler,Barrier,Major Enabler,Neither a barrier nor an enabler,Barrier,Barrier,Neither a barrier nor an enabler,Barrier,Not Applicable,Barrier,Neither a barrier nor an enabler,Neither a barrier nor an enabler
87,"Software development and installation (incl. game, app and e-learning resource development)",Privately owned (100% Australian),Regional Victoria,20 or more years,11,8,1,1,Increase,Yes,,,,Developer programmers,,,,,,,,,,,,,"$1,000,000 to $4,999,999",30,60,,10,Yes,Yes,Stay the same,Stay the same,Regularly,,,Computer software,Computer services,,,,,,,,South East Asia,,,Middle East,,Western Europe,,,,,Oceania and Pacific Islands,,UK,Middle East,New Zealand,Vietnam,China,UK,Middle East,New Zealand,Vietnam,China,Customising/modifying existing products and services,15,Neither a barrier nor an enabler,Major Barrier,Barrier,Not Applicable,Barrier,Not Applicable,Enabler,Enabler,Enabler,Barrier,,Enabler,Not Applicable,Barrier,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Enabler,Barrier
88,Computer software publishing,Privately owned (100% Australian),Metropolitan Melbourne,10 to 19 years,5,,,,Increase,No,,,,,,,,,,,,,,,,Other,"$500,000 to $999,999",75,20,,5,No,No,Increase,Increase,Regularly,,,Computer software,,,,,,,,,South East Asia,,,,,Western Europe,Africa,,,,Oceania and Pacific Islands,,Africa,UK,Fiji,Malaysia,,Africa,UK,USA,Fiji,Malaysia,Customising/modifying existing products and services,10,Major Barrier,Barrier,Major Barrier,Major Barrier,Barrier,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Major Enabler,Major Enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Barrier,Barrier,Barrier,Enabler,Barrier,Barrier
89,"Software development and installation (incl. game, app and e-learning resource development)",Privately owned (100% Australian),Metropolitan Melbourne,10 to 19 years,22,7,,,Increase,Yes,,,,Developer programmers,,,,,,,,,Research and development,,,,"$1,000,000 to $4,999,999",15,52,,33,Yes,Yes,Increase,Stay the same,Regularly,,,Computer software,,,,,,,,,South East Asia,East Asia,South Asia,Middle East,Eastern Europe and Russia,Western Europe,Africa,North America,Central America and Caribbean,South America,Oceania and Pacific Islands,,USA,UK,Canada,France,New Zealand,USA,UK,Canada,France,New Zealand,Implementing new or significantly improved organisational processes/structures,95,Major Barrier,Barrier,Barrier,Not Applicable,Barrier,Enabler,Not Applicable,Not Applicable,Not Applicable,Barrier,Barrier,Neither a barrier nor an enabler,Barrier,Barrier,Major Barrier,Barrier,Neither a barrier nor an enabler,Barrier
90,Telecommunications services,Privately owned (100% Australian),Metropolitan Melbourne,20 or more years,14,,6,,Stay the same,Yes,,,,,,,,,,,,,,,Company not currently experiencing skills as being in short supply,,"$1,000,000 to $4,999,999",70,30,,,Yes,No,Stay the same,Stay the same,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Developing new products and services,4,Major Barrier,Major Barrier,Enabler,Barrier,Barrier,Enabler,Major Barrier,Enabler,,Barrier,Enabler,Barrier,Barrier,Barrier,Enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Enabler
92,"Internet and data services (incl. data centre hosting, cloud services)",Privately owned (100% Australian),Metropolitan Melbourne,2 to 4 years,30,,12,,Increase,Yes,,ICT professionals,,,,ICT security specialists,,,,,,,,,,,"$1,000,000 to $4,999,999",75,25,,,Yes,No,Increase,Increase,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Developing new products and services,20,Neither a barrier nor an enabler,Barrier,Barrier,Barrier,Barrier,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Major Enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Major Barrier,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler
94,"Software development and installation (incl. game, app and e-learning resource development)",Privately owned (100% Australian),Metropolitan Melbourne,5 to 9 years,6,,,,Increase,Yes,,,"ICT business analysts, systems analysts and programmers",,,,,,,,,,,,,,"$1,000,000 to $4,999,999",20,80,,,Yes,Yes,Increase,Stay the same,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,New Zealand,Germany,UK,,,Customising/modifying existing products and services,20,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Barrier,Neither a barrier nor an enabler,Enabler,Neither a barrier nor an enabler,Enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Enabler,Neither a barrier nor an enabler,Major Barrier,Barrier,Barrier,Neither a barrier nor an enabler,Barrier,Barrier
95,Manufacturing – ICT equipment,Privately owned (100% Australian),Metropolitan Melbourne,5 to 9 years,10,2,,,Increase,Yes,,,,,,,,,,,,,,,,,"$1,000,000 to $4,999,999",15,65,,20,Yes,No,Stay the same,Increase,Irregularly,,,,,,,,,,,Other,South East Asia,East Asia,South Asia,Middle East,Eastern Europe and Russia,Western Europe,,,,,Oceania and Pacific Islands,,UK,Finland,Sweden,Singapore,Malaysia,UK,Finland,Sweden,Singapore,Malaysia,Implementing new or significantly improved operational processes,40,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Enabler,Enabler,Major Barrier,Major Enabler,Major Enabler,Enabler,Not Applicable,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Barrier,Major Barrier,Not Applicable,Major Enabler,Major Barrier
96,Manufacturing – ICT equipment,Listed on foreign exchange,Overseas,20 or more years,50,15,150,160000,Increase,Yes,,,,,,,,,,,,,,,,,"More than $10,000,000",0.5,0.5,99,,Yes,No,Increase,Increase,Irregularly,,"Other ICT and telecommunications equipment, parts and components",,,,,,,,,,South East Asia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,Systems analysis and computer programming,Privately owned (100% Australian),Metropolitan Melbourne,10 to 19 years,10,2,,,Increase,No,ICT managers,ICT professionals,"ICT business analysts, systems analysts and programmers",Developer programmers,Database and systems administrators,,,"Software engineers, testers and app programmers",,,,,,,,,"$1,000,000 to $4,999,999",60,30,10,,Yes,Yes,Stay the same,Stay the same,Irregularly,,,Computer software,,,,,,,,,South East Asia,,South Asia,,,,,,,,Oceania and Pacific Islands,,New Zealand,Singapore,India,,,New Zealand,Singapore,India,Malaysia,Hong kong,Customising/modifying existing products and services,20,Barrier,Barrier,Barrier,Neither a barrier nor an enabler,Barrier,Barrier,Enabler,Major Enabler,Enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Barrier,Barrier,Major Barrier,Neither a barrier nor an enabler,Major Barrier,Barrier,Enabler
98,Systems analysis and computer programming,Privately owned (100% Australian),Metropolitan Melbourne,10 to 19 years,1,,,,Stay the same,Yes,,,,,,,,,,,,,Research and development,,,,"$0 to $199,999",50,,,50,Yes,No,Increase,Increase,Regularly,,,,,,,,,,,Other,South East Asia,East Asia,South Asia,Middle East,Eastern Europe and Russia,Western Europe,Africa,North America,Central America and Caribbean,South America,Oceania and Pacific Islands,,Mexico,Spain,Malaysia,UK,The Netherlands,USA,UK,Hong Kong,Spain,New Zealand,Developing new products and services,50,Major Barrier,Major Barrier,Barrier,Major Barrier,Barrier,Major Barrier,Enabler,Enabler,Neither a barrier nor an enabler,Barrier,Major Barrier,Barrier,Major Barrier,Major Barrier,Major Barrier,Major Barrier,Major Barrier,Barrier
99,"Software development and installation (incl. game, app and e-learning resource development)",Privately owned (100% Australian),Metropolitan Melbourne,2 to 4 years,4,3,1,,Increase,Yes,,,,,,,,,,,,,,,,,"$200,000 to $499,999",1,3,,96,No,No,Increase,Increase,Regularly,,,Computer software,,,,,,,,,South East Asia,East Asia,South Asia,Middle East,Eastern Europe and Russia,Western Europe,Africa,North America,Central America and Caribbean,South America,Oceania and Pacific Islands,,USA,UK,Germany,Italy,China,USA,UK,China,Japan,South Korea,Developing new products and services,40,Neither a barrier nor an enabler,Barrier,Barrier,Barrier,Barrier,Enabler,Enabler,Enabler,Barrier,Major Enabler,Enabler,Enabler,Neither a barrier nor an enabler,Barrier,Major Barrier,Barrier,Enabler,Barrier
102,Computer hardware maintenance and consulting,Privately owned (100% Australian),Regional Victoria,20 or more years,17,2,,,Increase,No,,ICT professionals,,,,,ICT network and support professionals (e.g. computer network and systems engineers),,"Technicians – ICT, telecommunications and electronics",,,,,,,,"$1,000,000 to $4,999,999",100,,,,Yes,Yes,Increase,Increase,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Implementing new or significantly improved organisational processes/structures,1,Enabler,Major Barrier,Major Enabler,Enabler,Barrier,Neither a barrier nor an enabler,Major Barrier,Major Enabler,Enabler,Enabler,Major Enabler,Barrier,Major Barrier,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Barrier,Neither a barrier nor an enabler,Neither a barrier nor an enabler
103,"Software development and installation (incl. game, app and e-learning resource development)",Privately owned (100% Australian),Metropolitan Melbourne,5 to 9 years,,5,,,Decrease,Yes,,,,,,,,,,,,,,,Company not currently experiencing skills as being in short supply,Other,"$0 to $199,999",80,20,,,Yes,No,Stay the same,Decrease,Regularly,,,,,Internet and web design,Internet publishing and broadcasting,,,,,,,,,,,Western Europe,,,,,,,UK,,,,,,,,,,Customising/modifying existing products and services,10,Barrier,Major Barrier,Major Enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Major Barrier,Major Enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Enabler,Neither a barrier nor an enabler,Barrier,Barrier,Barrier,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Barrier,Neither a barrier nor an enabler
106,Systems analysis and computer programming,Privately owned (100% Australian),Metropolitan Melbourne,10 to 19 years,5,,,,Increase,No,,,"ICT business analysts, systems analysts and programmers",Developer programmers,,,,"Software engineers, testers and app programmers",,,,,,,,,"$500,000 to $999,999",80,20,,,Yes,No,Increase,Stay the same,Irregularly,,,,Computer services,,,,,,,,South East Asia,,,,,,,North America,,,Oceania and Pacific Islands,,North America,,,,,South East Asia,North America,,,,Customising/modifying existing products and services,10,Barrier,Barrier,Major Barrier,Neither a barrier nor an enabler,Barrier,Barrier,Neither a barrier nor an enabler,Enabler,Enabler,Barrier,Barrier,Barrier,Barrier,Barrier,Neither a barrier nor an enabler,Barrier,Barrier,Barrier
108,"Software development and installation (incl. game, app and e-learning resource development)",Privately owned (100% Australian),Metropolitan Melbourne,10 to 19 years,2,,,,Stay the same,Yes,,,,,,,,,,,,,,,,,"$200,000 to $499,999",5,,,95,Yes,Yes,Increase,Increase,Regularly,,,,,,Internet publishing and broadcasting,,,,,,South East Asia,,,,,Western Europe,,North America,,,Oceania and Pacific Islands,,New Zealand,North America,UK,Germany,Singapore,New Zealand,North America,EU,UK,South Asia,Customising/modifying existing products and services,25,Not Applicable,Not Applicable,Major Enabler,Barrier,Neither a barrier nor an enabler,Major Enabler,Major Enabler,Major Enabler,Major Enabler,Major Enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Barrier,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Barrier,Barrier
110,"Software development and installation (incl. game, app and e-learning resource development)",Privately owned (100% Australian),Metropolitan Melbourne,20 or more years,5,1,,,Stay the same,Yes,,,,,,,,,,,,,,,,Other,"$200,000 to $499,999",10,60,,30,Yes,No,Increase,Stay the same,Regularly,,,Computer software,,,,,,,,,,,,,,,Africa,North America,,,Oceania and Pacific Islands,,New Zealand,North America,South Africa,,,North America,EU,UK,South Africa,,Customising/modifying existing products and services,15,Barrier,Neither a barrier nor an enabler,Enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Barrier,Major Enabler,Barrier,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Barrier,Major Barrier,Barrier,Enabler,Barrier,Barrier
111,"Software development and installation (incl. game, app and e-learning resource development)",Privately owned (100% Australian),Metropolitan Melbourne,10 to 19 years,5,,4,,Stay the same,Yes,,,,,,,,"Software engineers, testers and app programmers",,,,,Research and development,,,,"$1,000,000 to $4,999,999",50,50,,,Yes,No,Stay the same,Stay the same,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EU,USA,South America,South East Asia,,Developing new products and services,10,Major Barrier,Barrier,Barrier,Neither a barrier nor an enabler,Barrier,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Barrier,Major Barrier,Barrier,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Barrier
112,Manufacturing – ICT equipment,Privately owned (100% Australian),Metropolitan Melbourne,20 or more years,35,,,7,Stay the same,Yes,,,,,,,,,,,,,,,,,"$5,000,000 to $9,999,999",35,40,10,15,Yes,No,Increase,Decrease,Regularly,,"Other ICT and telecommunications equipment, parts and components",,,,,,,,,,,,,,,,,,,,Oceania and Pacific Islands,,New Zealand,,,,,New Zealand,USA,EU,,,Implementing new or significantly improved organisational processes/structures,2,Barrier,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Barrier,Barrier,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Barrier,Barrier,Barrier,Neither a barrier nor an enabler,Neither a barrier nor an enabler
113,Computer software consulting,Listed on foreign exchange,Metropolitan Melbourne,10 to 19 years,20,10,50,,Increase,Yes,,ICT professionals,,,,,,,,,,,,,,,"More than $10,000,000",20,75,5,,Yes,No,Increase,Increase,Regularly,,,,,,,,,Telecommunications services,,Other,South East Asia,,South Asia,,,,,,,,Oceania and Pacific Islands,,New Zealand,Singapore,China,Hong Kong,,China,Singapore,New Zealand,,,Developing new products and services,5,Barrier,Barrier,Barrier,Barrier,Barrier,Barrier,Major Barrier,Enabler,Enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Barrier,Barrier,Barrier,Barrier,Barrier,Barrier,Barrier
114,"Software development and installation (incl. game, app and e-learning resource development)",Privately owned (100% Australian),Metropolitan Melbourne,5 to 9 years,14,,,2,Stay the same,Yes,,,"ICT business analysts, systems analysts and programmers",,,,,,,,,ICT trainers,,"Business management, human resources and other support functions",,,"$1,000,000 to $4,999,999",50,40,5,5,Yes,Yes,Stay the same,Decrease,Irregularly,,,Computer software,,,,,,,,,,,,,,,,North America,,,Oceania and Pacific Islands,,New Zealand,USA,,,,New Zealand,USA,,,,Developing new products and services,25,Barrier,Major Barrier,Barrier,Neither a barrier nor an enabler,Barrier,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Barrier,Barrier,Barrier,Barrier,Enabler,Neither a barrier nor an enabler,Barrier,Barrier,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler
115,"Software development and installation (incl. game, app and e-learning resource development)",Privately owned (up to 49% foreign owned),Metropolitan Melbourne,5 to 9 years,28,,2,1,Increase,Yes,,ICT professionals,,,,,,,,,,,,,,,"$5,000,000 to $9,999,999",5,30,,65,No,No,Increase,Increase,Regularly,Computer hardware,,Computer software,Computer services,,,,,,,,South East Asia,,,,,,Africa,,Central America and Caribbean,South America,Oceania and Pacific Islands,,Mexico,Chile,Mozambique,Papua New Guinea,New Zealand,Mexico,Chile,Mozambique,Papua New Guinea,New Zealand,Developing new products and services,30,Neither a barrier nor an enabler,Barrier,Neither a barrier nor an enabler,Major Barrier,Barrier,Barrier,Neither a barrier nor an enabler,Enabler,Enabler,Barrier,Barrier,Barrier,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Barrier,Enabler,Enabler
116,Internet and web design consulting,Privately owned (100% Australian),Metropolitan Melbourne,10 to 19 years,3,,,,Stay the same,Yes,,,,Developer programmers,,,,,,,,,,,,,"$200,000 to $499,999",100,,,,Yes,No,Stay the same,Increase,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,New Zealand,,,,,Developing new products and services,50,Neither a barrier nor an enabler,Major Barrier,Barrier,Major Barrier,Major Barrier,Barrier,Enabler,Major Enabler,Major Enabler,Major Enabler,Enabler,Neither a barrier nor an enabler,Major Barrier,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler
117,"Software development and installation (incl. game, app and e-learning resource development)",Privately owned (100% Australian),Metropolitan Melbourne,10 to 19 years,36,5,,42,Increase,Yes,,,,,,,,,,,,,,,Company not currently experiencing skills as being in short supply,,"More than $10,000,000",10,50,40,,Yes,No,Increase,Increase,Regularly,,,Computer software,,,,,,,,,,,,,,Western Europe,,,,,,,UK,,,,,UK,Singapore,Malaysia,Japan,China,Developing new products and services,25,Enabler,Neither a barrier nor an enabler,Enabler,Enabler,Enabler,Enabler,Enabler,Major Enabler,Major Enabler,Major Enabler,Enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Major Enabler,Neither a barrier nor an enabler
118,Telecommunications services,Listed on ASX,Metropolitan Melbourne,10 to 19 years,1000,200,300,,Stay the same,Yes,,,,,,,,,,,,,,,Company not currently experiencing skills as being in short supply,,"More than $10,000,000",40,60,,,Yes,Yes,Increase,Increase,Irregularly,,,,,,,,,Telecommunications services,,,South East Asia,,,,,,,,,,,,Singapore,Hong Kong,,,,China,,,,,Developing new products and services,10,Enabler,Barrier,Barrier,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Enabler,Enabler,Enabler,Enabler,Enabler,Major Barrier,Major Barrier,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Barrier,Neither a barrier nor an enabler,Neither a barrier nor an enabler
119,Computer software consulting,Privately owned (100% Australian),Metropolitan Melbourne,10 to 19 years,27,5,6,,Increase,No,,,,Developer programmers,,,ICT network and support professionals (e.g. computer network and systems engineers),,,,,,,,,,"$5,000,000 to $9,999,999",60,35,5,,Yes,No,Increase,Stay the same,Irregularly,,,Computer software,Computer services,,,,,,,,South East Asia,,,,,,,,,,,,Hong Kong,,,,,,,,,,Implementing new or significantly improved organisational processes/structures,30,Neither a barrier nor an enabler,Barrier,Barrier,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Enabler,Enabler,Enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Barrier,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Barrier,Enabler
